Name,DOB,Match_ID,inning,Batting_Team,Bowling_Team,over,Ball
"DA Warner",27-Oct-86,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,1
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,1
"DA Warner",27-Oct-86,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,2
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,2
"DA Warner",27-Oct-86,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,3
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,3
"DA Warner",27-Oct-86,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,4
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,4
"DA Warner",27-Oct-86,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,5
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,5
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,6
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,6
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,7
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,7
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,1
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,1
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,2
"DA Warner",27-Oct-86,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,2
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,3
"DA Warner",27-Oct-86,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,3
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,4
"DA Warner",27-Oct-86,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,4
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,5
"DA Warner",27-Oct-86,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,5
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,6
