Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Team
A Ashish Reddy,24-Feb-91,Right_Hand,Right-arm medium,India,Chennai Super Kings
A Chandila,5-Dec-83,Right_Hand,Right-arm offbreak,India,Rajasthan Royals
A Chopra,19-Sep-77,Right_Hand,Right-arm offbreak,India,Delhi Daredevils
A Choudhary,,Right_hand,Left-arm fast-medium,,Kings XI Punjab
A Dananjaya,,Right_Hand,Right-arm offbreak,,Kings XI Punjab
A Flintoff,6-Dec-77,Right_Hand,Right-arm fast-medium,England,Rajasthan Royals
A Hales,,Right_hand,,,Kings XI Punjab
A Joseph,,Right_Hand,Right-arm fast,,Kings XI Punjab
A Kumble,17-Oct-70,Right_Hand,Legbreak googly,India,Deccan Chargers
A Mishra,24-Nov-82,Right_Hand,Legbreak,India,Chennai Super Kings
A Mithun,25-Oct-89,Right_Hand,Right-arm medium,India,Chennai Super Kings
A Mukund,6-Jan-90,Right_Hand,Legbreak googly,India,Kolkata Knight Riders
A Nehra,29-Apr-79,Right_Hand,Left-arm medium-fast,India,Gujarat Lions
A Nel,15-Jul-77,Right_Hand,Right-arm fast-medium,South Africa,Delhi Capitals
A Roy,,Left_Hand,Slow left-arm orthodox,,Kings XI Punjab
A Singh,21-Jun-81,Right_Hand,Right-arm medium-fast,India,Rising Pune Supergiants
A Symonds,9-Jun-75,Right_Hand,Right-arm offbreak,Australia,Pune Warriors
A Turner,,Right_Hand,,,Kings XI Punjab
A Uniyal,21-Nov-81,Right_Hand,Left-arm medium,India,Rising Pune Supergiants
A Zampa,31-Mar-92,Right_Hand,Legbreak googly,Australia,Rajasthan Royals
AA Bilakhia,31-May-86,Right_Hand,Right-arm medium,India,Rajasthan Royals
AA Chavan,28-Oct-85,Right_Hand,Slow left-arm orthodox,India,Gujarat Lions
AA Jhunjhunwala,1-Dec-82,Right_Hand,Right-arm offbreak,India,Rising Pune Supergiant
AA Kazi,29-Sep-89,Right_Hand,Slow left-arm orthodox,India,Kochi Tuskers Kerala
AA Noffke,30-Apr-77,Right_Hand,Right-arm fast-medium,Australia,Kochi Tuskers Kerala
AB Agarkar,4-Dec-77,Right_Hand,Right-arm fast,India,Rajasthan Royals
AB Barath,14-Apr-90,Left_Hand,Right-arm offbreak,India,Mumbai Indians
AB de Villiers,17-Feb-84,Right_Hand,Right-arm medium,South Africa,Deccan Chargers
AB Dinda,25-Mar-84,Right_Hand,Right-arm medium-fast,India,Chennai Super Kings
AB McDonald,5-Jun-81,Right_Hand,Right-arm fast-medium,Australia,Rajasthan Royals
Abdur Razzak,15-Jun-82,Left_Hand,Slow left-arm orthodox,Bangladesh,Delhi Capitals
AC Blizzard,27-Jun-84,Left_Hand,Left-arm medium,Australia,Gujarat Lions
AC Gilchrist,14-Nov-71,Left_Hand,Right-arm offbreak,Australia,Delhi Capitals
AC Thomas,9-Feb-77,Right_Hand,Right-arm fast-medium,England,Pune Warriors
AC Voges,4-Oct-79,Right_Hand,Slow left-arm orthodox,Australia,Rajasthan Royals
AD Mascarenhas,30-Oct-77,Right_Hand,Right-arm fast-medium,England,Kochi Tuskers Kerala
AD Mathews,2-Jun-87,Right_Hand,Right-arm fast-medium,Sri Lanka,Delhi Daredevils
AD Nath,10-May-93,Right_Hand,Right-arm medium-fast,India,Sunrisers Hyderabad
AD Russell,29-Apr-88,Right_Hand,Right-arm fast,West Indies,Gujarat Lions
AF Milne,13-Apr-92,Right_Hand,Right-arm fast,New Zealand,Mumbai Indians
AG Murtaza,1-Jan-90,Left_Hand,Slow left-arm orthodox,India,Rising Pune Supergiant
AG Paunikar,18-Apr-88,Right_Hand,NULL,India,Deccan Chargers
AJ Finch,17-Nov-86,Right_Hand,Slow left-arm orthodox,Australia,Deccan Chargers
AJ Tye,,Right_hand,Right-arm fast-medium,,Kings XI Punjab
AL Menaria,29-Oct-90,Left_Hand,Slow left-arm orthodox,India,Kochi Tuskers Kerala
AM Nayar,8-Oct-83,Left_Hand,Right-arm medium,India,Pune Warriors
AM Rahane,6-Jun-88,Right_Hand,Right-arm medium,India,Kolkata Knight Riders
AM Salvi,20-Oct-81,Right_Hand,Right-arm medium,India,Delhi Daredevils
AN Ahmed,5-Nov-88,Right_Hand,Right-arm medium-fast,India,Rajasthan Royals
AN Ghosh,19-Oct-86,Right_Hand,Right-arm medium,India,Delhi Daredevils
Anand Rajan,17-Apr-87,Right_Hand,Right-arm medium,India,Delhi Capitals
Anirudh Singh,2-Aug-80,Left_Hand,Right-arm medium,India,Delhi Daredevils
Ankit Sharma,20-Apr-91,Left_Hand,Slow left-arm orthodox,India,Delhi Daredevils
Ankit Soni,,Right_hand,Legbreak,,Kings XI Punjab
Anureet Singh,2-Mar-88,Right_Hand,Right-arm medium,India,Delhi Daredevils
AP Dole,9-Oct-87,Right_Hand,Right-arm medium-fast,India,Pune Warriors
AP Majumdar,30-Apr-84,Right_Hand,Legbreak googly,India,Kochi Tuskers Kerala
AP Tare,7-Nov-87,Right_Hand,NULL,India,Kolkata Knight Riders
