MatchID,TeamName
1,"Sunrisers Hyderabad"
2,"Mumbai Indians"
3,"Gujarat Lions"
4,"Kings XI Punjab"
5,"Delhi Daredevils"
6,"Sunrisers Hyderabad"
6,"Gujarat Lions"
7,"Mumbai Indians"
8,"Kings XI Punjab"
9,"Delhi Daredevils"
10,"Sunrisers Hyderabad"
10,"Mumbai Indians"
11,"Kings XI Punjab"
12,"Mumbai Indians"
13,"Gujarat Lions"
14,"Sunrisers Hyderabad"
15,"Kings XI Punjab"
15,"Delhi Daredevils"
16,"Mumbai Indians"
16,"Gujarat Lions"
18,"Delhi Daredevils"
19,"Sunrisers Hyderabad"
19,"Kings XI Punjab"
20,"Gujarat Lions"
21,"Sunrisers Hyderabad"
21,"Delhi Daredevils"
22,"Mumbai Indians"
22,"Kings XI Punjab"
23,"Gujarat Lions"
24,"Mumbai Indians"
24,"Delhi Daredevils"
25,"Sunrisers Hyderabad"
26,"Kings XI Punjab"
26,"Gujarat Lions"
28,"Mumbai Indians"
30,"Gujarat Lions"
31,"Delhi Daredevils"
32,"Sunrisers Hyderabad"
32,"Kings XI Punjab"
34,"Mumbai Indians"
34,"Gujarat Lions"
35,"Kings XI Punjab"
35,"Delhi Daredevils"
36,"Sunrisers Hyderabad"
37,"Mumbai Indians"
38,"Gujarat Lions"
39,"Sunrisers Hyderabad"
39,"Delhi Daredevils"
41,"Gujarat Lions"
41,"Delhi Daredevils"
42,"Kings XI Punjab"
43,"Sunrisers Hyderabad"
44,"Mumbai Indians"
44,"Delhi Daredevils"
46,"Kings XI Punjab"
46,"Gujarat Lions"
47,"Sunrisers Hyderabad"
47,"Mumbai Indians"
48,"Kings XI Punjab"
49,"Gujarat Lions"
49,"Delhi Daredevils"
50,"Mumbai Indians"
50,"Kings XI Punjab"
51,"Delhi Daredevils"
52,"Sunrisers Hyderabad"
52,"Gujarat Lions"
53,"Mumbai Indians"
54,"Kings XI Punjab"
55,"Delhi Daredevils"
56,"Mumbai Indians"
